ID,Nombre,Departamento,Municipio
10146,CENTRO ESCOLAR CASERIO LOS CONACASTES,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10147,CENTRO ESCOLAR CANTON EL COROZO,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10148,CENTRO ESCOLAR GENERAL FRANCISCO MENENDEZ,AHUACHAPAN,SAN FRANCISCO MENÉNDEZ
10149,CENTRO ESCOLAR CANTON EL PORTILLO,AHUACHAPAN,SAN LORENZO
10150,ESCUELA DE EDUCACION PARVULARIA DE SAN LORENZO,AHUACHAPAN,SAN LORENZO
10151,CENTRO ESCOLAR GILBERTO AUGUSTO CARCAMO,AHUACHAPAN,SAN LORENZO
10152,CENTRO ESCOLAR ABEL WILFREDO VELASCO CARCAMO,AHUACHAPAN,SAN LORENZO
10153,CENTRO ESCOLAR HERMOGENES ALBANES LEONOR,AHUACHAPAN,SAN LORENZO
10154,CENTRO ESCOLAR CANTON GUASCOTA,AHUACHAPAN,SAN LORENZO
10155,COMPLEJO EDUCATIVO CANTON LAS POZAS,AHUACHAPAN,SAN LORENZO
10156,COMPLEJO EDUCATIVO PROFESOR PABLO SORIANO URQUILLA,AHUACHAPAN,SAN PEDRO PUXTLA
10157,CENTRO ESCOLAR CANTON EL CORTEZ,AHUACHAPAN,SAN PEDRO PUXTLA
10159,CENTRO ESCOLAR CANTON LA CONCEPCION,AHUACHAPAN,SAN PEDRO PUXTLA
10160,COMPLEJO EDUCATIVO RESIDENCIAL ALTA VISTA,SAN SALVADOR,SAN MARTÍN
10161,CENTRO ESCOLAR COLONIA GUADALUPE,SONSONATE,SAN JULIÁN
10162,ESCUELA DE EDUCACION PARVULARIA SAN JACINTO,SAN SALVADOR,SAN SALVADOR
10164,CENTRO ESCOLAR CANTON MONTE HERMOSO,AHUACHAPAN,TACUBA
10165,INSTITUTO NACIONAL DE CINQUERA,CABAÑAS,CINQUERA
10166,ESCUELA DE EDUCACION PARVULARIA PROFESOR ISIDRO ALFONSO MAGAÑA,AHUACHAPAN,TACUBA
10167,INSTITUTO NACIONAL LICENCIADO RENE PORFIRIO OSORIO,AHUACHAPAN,TACUBA
10168,CENTRO ESCOLAR CANTON LOMA LARGA,AHUACHAPAN,TACUBA
10169,COMPLEJO EDUCATIVO JOSE MARTI,AHUACHAPAN,TACUBA
10170,COMPLEJO EDUCATIVO ADELA CALDERON DE HERRERA,AHUACHAPAN,TACUBA
10173,CENTRO ESCOLAR CANTON LA PANDEADURA,AHUACHAPAN,TACUBA
10174,INSTITUTO NACIONAL DE EL ROSARIO,CUSCATLÁN,EL ROSARIO
10176,COMPLEJO EDUCATIVO JUAN DE DIOS DEL CID,AHUACHAPAN,TURÍN
10177,CENTRO ESCOLAR PROFESOR RODRIGO FLORES,AHUACHAPAN,TURÍN
10178,CENTRO ESCOLAR CANTON EL JOBO,AHUACHAPAN,TURÍN
10179,ESCUELA DE EDUCACION PARVULARIA REPUBLICA DE ALEMANIA,AHUACHAPAN,TURÍN
10182,INSTITUTO NACIONAL CANDELARIA DE LA FRONTERA,SANTA ANA,CANDELARIA DE LA FRONTERA
10183,CENTRO ESCOLAR BARTOLOME BOLAÑOS,SANTA ANA,CANDELARIA DE LA FRONTERA
10184,CENTRO ESCOLAR CANTON LA CRIBA,SANTA ANA,CANDELARIA DE LA FRONTERA
10185,CENTRO ESCOLAR GENERAL FRANCISCO MORAZAN,SANTA ANA,CANDELARIA DE LA FRONTERA
10186,CENTRO ESCOLAR CANTON EL JUTE,SANTA ANA,CANDELARIA DE LA FRONTERA
10187,CENTRO ESCOLAR CANTON MONTE VERDE,SANTA ANA,CANDELARIA DE LA FRONTERA
10188,CENTRO ESCOLAR CANTON SAN CRISTOBAL DE LA FRONTERA,SANTA ANA,CANDELARIA DE LA FRONTERA
10189,CENTRO ESCOLAR CASERIO LOS TABLONCITOS,SANTA ANA,CANDELARIA DE LA FRONTERA
10190,CENTRO ESCOLAR CANTON CASAS DE TEJAS,SANTA ANA,CANDELARIA DE LA FRONTERA
10191,CENTRO ESCOLAR COLONIA SAN JOSE HACIENDA SANTA ADELA,SANTA ANA,SANTA ANA
10192,CENTRO ESCOLAR CASERIO LAS CRISTALINAS,SANTA ANA,CANDELARIA DE LA FRONTERA
10193,CENTRO ESCOLAR COOPERATIVA SAN MIGUEL,SANTA ANA,CANDELARIA DE LA FRONTERA
10194,CENTRO ESCOLAR CANTON TIERRA BLANCA,SANTA ANA,CANDELARIA DE LA FRONTERA
10195,CENTRO ESCOLAR CANTON PIEDRAS AZULES,SANTA ANA,CANDELARIA DE LA FRONTERA
10196,ESCUELA DE EDUCACION PARVULARIA PRESBITERO MATIAS ROMERO,SANTA ANA,CANDELARIA DE LA FRONTERA
10197,CENTRO ESCOLAR SALOMON CAÑAS,SANTA ANA,CANDELARIA DE LA FRONTERA
10198,CENTRO ESCOLAR SOLEDAD MORENO DE BENAVIDES,SANTA ANA,CANDELARIA DE LA FRONTERA
10199,CENTRO ESCOLAR CANTON PLANTA VIEJA,SANTA ANA,COATEPEQUE
10200,CENTRO ESCOLAR COOPERATIVA TIERRA FERTIL,SANTA ANA,COATEPEQUE
10201,CENTRO ESCOLAR COLONIA LAS LUPITAS,SANTA ANA,COATEPEQUE
10202,CENTRO ESCOLAR CASERIO EL PROGRESO CANTON LA JOYA,SANTA ANA,COATEPEQUE
10203,ESCUELA DE EDUCACION PARVULARIA JARDINES DE COLON,LA LIBERTAD,COLÓN
10204,CENTRO ESCOLAR COATEPEQUE,SANTA ANA,COATEPEQUE
10206,INSTITUTO NACIONAL DE SAN FERNANDO,CHALATENANGO,SAN FERNANDO
10207,COMPLEJO EDUCATIVO CANTON EL TINTERAL,SANTA ANA,COATEPEQUE
10208,CENTRO ESCOLAR CANTON EL ZACATAL,SANTA ANA,COATEPEQUE
10209,CENTRO ESCOLAR JOSE RUBEN RIVERA RIVERA,SANTA ANA,COATEPEQUE
10210,CENTRO ESCOLAR MARGARITA PANILLA DE BARILLAS,LA LIBERTAD,SAN JUAN OPICO
10211,CENTRO ESCOLAR CANTON CAÑA BRAVA,SANTA ANA,COATEPEQUE
10213,CENTRO ESCOLAR CASERIO LAS LOMAS CANTON SAN JACINTO,SANTA ANA,COATEPEQUE
10215,CENTRO ESCOLAR CANTON PLANES DE LA LAGUNA,SANTA ANA,COATEPEQUE
10216,CENTRO ESCOLAR FINCA EL POTOSI,SANTA ANA,COATEPEQUE
10217,"COMPLEJO EDUCATIVO CASERIO SAN LUIS LA PLANTA, CANTON NANCINTEPEQUE",SANTA ANA,SANTA ANA
10218,CENTRO ESCOLAR MICHELE GRANIELLO RUSSO,SANTA ANA,COATEPEQUE
10219,CENTRO ESCOLAR PARA CIEGOS EUGENIA VIUDA DE DUEÑAS,SAN SALVADOR,SAN SALVADOR
10220,COMPLEJO EDUCATIVO CAPITAN GENERAL GERARDO BARRIOS,SANTA ANA,COATEPEQUE
10221,COMPLEJO EDUCATIVO ANSELMA SANCHEZ DE MANCIA,SANTA ANA,EL CONGO
10222,ESCUELA DE EDUCACION PARVULARIA COATEPEQUE,SANTA ANA,COATEPEQUE
10223,ESCUELA DE EDUCACION PARVULARIA COMUNIDAD 7 DE SEPTIEMBRE,SAN SALVADOR,ILOPANGO
10224,CENTRO ESCOLAR CANTON LA CONCEPCION,SANTA ANA,COATEPEQUE
10225,COMPLEJO EDUCATIVO CANTON EL RESBALADERO,SANTA ANA,COATEPEQUE
10226,CENTRO ESCOLAR CANTON EL CONACASTE,SANTA ANA,COATEPEQUE
10227,CENTRO ESCOLAR CANTON EL JOCOTON,SANTA ANA,COATEPEQUE
10228,CENTRO ESCOLAR CASERIO LA GALLINA,SANTA ANA,COATEPEQUE
10229,CENTRO ESCOLAR DOCTOR SALVADOR MENDIETA,SANTA ANA,COATEPEQUE
10230,COMPLEJO EDUCATIVO ELISA MEDINA VIUDA DE GARDINER,SANTA ANA,COATEPEQUE
10231,CENTRO ESCOLAR MARCELINA VDA DE GRANILLO,SANTA ANA,COATEPEQUE
10233,CENTRO ESCOLAR COLONIA LA MIELERA,SANTA ANA,CHALCHUAPA
10234,CENTRO ESCOLAR CASERIO LOMAS DEL COCO,SANTA ANA,CHALCHUAPA
10235,INSTITUTO NACIONAL DE NUEVO CUSCATLAN,LA LIBERTAD,NUEVO CUSCATLÁN
10236,CENTRO ESCOLAR COLONIA TAZUMAL,SANTA ANA,CHALCHUAPA
10237,CENTRO ESCOLAR COLONIA SANTA ELENITA,SANTA ANA,CHALCHUAPA
10239,INSTITUTO NACIONAL JORGE ELISEO AZUCENA ORTEGA,SANTA ANA,CHALCHUAPA
10240,CENTRO ESCOLAR COOPERATIVA EL MANGUITO CANTON LA MAGDALENA,SANTA ANA,CHALCHUAPA
10242,CENTRO ESCOLAR CANTON BUENOS AIRES,SANTA ANA,CHALCHUAPA
10243,CENTRO ESCOLAR DOCTOR JOSE MARIA VIDES,SANTA ANA,CHALCHUAPA
10244,CENTRO ESCOLAR CANTON SAN JOSE,SANTA ANA,CHALCHUAPA
10245,CENTRO ESCOLAR CANTON SAN SEBASTIAN,SANTA ANA,CHALCHUAPA
10246,CENTRO ESCOLAR COMUNIDAD NUEVA JERUSALEN,SAN SALVADOR,TONACATEPEQUE
10247,CENTRO ESCOLAR CANTON LA LIBERTAD,SANTA ANA,CHALCHUAPA
10249,CENTRO ESCOLAR COLONIA SANTA CRUZ,SANTA ANA,CHALCHUAPA
10250,"COMPLEJO EDUCATIVO CASERIO SAN NICOLAS, CANTON LA MAGDALENA",SANTA ANA,CHALCHUAPA
10251,CENTRO ESCOLAR CASERIO SAN JORGE,SANTA ANA,CHALCHUAPA
10252,"CENTRO ESCOLAR CASERIO SAN CRISTOBAL, CANTON LA MAGDALENA",SANTA ANA,CHALCHUAPA
10253,"CENTRO ESCOLAR CASERIO SAN LUIS, CANTON LA MAGDALENA",SANTA ANA,CHALCHUAPA
10254,CENTRO ESCOLAR CANTON EL TANQUE,SANTA ANA,CHALCHUAPA
10255,"CENTRO ESCOLAR HACIENDA EL COCO, CANTON EL COCO",SANTA ANA,CHALCHUAPA
10256,COMPLEJO EDUCATIVO CANTON EL COCO,SANTA ANA,CHALCHUAPA
10257,CENTRO ESCOLAR CANTON GALEANO,SANTA ANA,CHALCHUAPA
10258,"CENTRO ESCOLAR HACIENDA EL NAZARENO, CANTON LA MAGDALENA",SANTA ANA,CHALCHUAPA
